(-0.000631165,-0.000273574)
(-0.000698,-0.000241378)
(-0.000719558,-0.000206634)
(-0.000811478,-0.000211439)
(-0.000908153,-0.000225326)
(-0.00100802,-0.000182453)
(-0.00107243,-0.000199008)
(-0.00116807,-0.000160416)
(-0.00130026,-0.000158418)
(-0.00144508,-0.000169316)
(-0.00152933,-0.000143453)
(-0.00167069,-0.000101364)
(-0.00184901,-0.00014622)
(-0.00202262,-0.000113859)
(-0.00214748,-8.27169e-05)
(-0.00234691,-0.00010777)
(-0.00255894,-0.000120588)
(-0.00278846,-7.92809e-05)
(-0.00297638,-0.000109365)
(-0.0032074,-0.000103281)
(-0.00347666,-0.000113702)
(-0.0037542,-0.000156035)
(-0.00400567,-0.000132625)
(-0.00429362,-0.000131078)
(-0.00458697,-0.000192735)
(-0.00491426,-0.000207357)
(-0.00521643,-0.000172491)
(-0.00553172,-0.000247712)
(-0.00588809,-0.000262696)
(-0.00627287,-0.000264788)
(-0.00660155,-0.000269705)
(-0.00698752,-0.000294596)
(-0.00740505,-0.000281621)
(-0.00779414,-0.000322531)
(-0.00823926,-0.000271459)
(-0.00868814,-0.000277968)
(-0.00912656,-0.000287328)
(-0.00963991,-0.000289201)
(-0.0101889,-0.000224587)
(-0.0106381,-0.000231048)
(-0.011208,-0.000222549)
(-0.0117768,-0.000218425)
(-0.0123332,-0.00018453)
(-0.0128852,-0.000179371)
(-0.0135075,-0.000176866)
(-0.014028,-0.000142911)
(-0.0146669,-0.000126042)
(-0.0152233,-8.09181e-05)
(-0.0157909,-1.95489e-05)
(-0.0163806,3.99868e-05)
(-0.017015,0.000104573)
(-0.0175698,0.000295129)
(-0.0181854,0.000378921)
(-0.0188111,0.00052126)
(-0.0194527,0.000698319)
(-0.0201096,0.000901741)
(-0.0207343,0.00103674)
(-0.021409,0.00128059)
(-0.0220428,0.00143171)
(-0.0226945,0.00164943)
(-0.0233107,0.00188585)
(-0.0239157,0.00211266)
(-0.024464,0.0023523)
(-0.0251083,0.00265731)
(-0.0256194,0.00299109)
(-0.0261564,0.00332887)
(-0.0267326,0.00370582)
(-0.0272703,0.00409204)
(-0.0277655,0.00454471)
(-0.0283147,0.00493087)
(-0.0287869,0.00537999)
(-0.0292434,0.00583532)
(-0.0297255,0.00629925)
(-0.0301054,0.00681752)
(-0.0304712,0.00737325)
(-0.0308528,0.00789017)
(-0.0312141,0.00849033)
