(0.000472513,-1.25623e-06)
(-0.000278823,3.06131e-05)
(0.000217437,0.00103036)
(-0.000211743,0.000282664)
(0.000159941,-0.000675923)
(0.000728957,-0.000348963)
(-9.89344e-05,0.000434964)
(-9.67404e-05,0.000708107)
(-0.000236098,-0.00102953)
(-7.79895e-05,-0.000681997)
(0.000142012,0.00113609)
(-0.000396684,0.000917834)
(0.000262766,0.000265355)
(0.00105166,-0.000705483)
(0.000533248,-0.000184698)
(0.000382502,0.000628668)
(-0.000633817,-0.000954664)
(-4.4059e-05,-0.000571642)
(0.000599782,0.000320574)
(0.000243713,-0.000189651)
(-0.00119698,0.000249282)
(-0.000271262,-0.00120156)
(0.000304129,0.00116573)
(0.000457317,0.00127899)
(0.00065342,-0.000725186)
(-0.000482516,-0.00166681)
(0.000587043,-9.76793e-05)
(-0.00134407,0.000469016)
(-0.0013116,-0.000157975)
(3.36473e-06,0.00047059)
(1.54403e-05,0.00109039)
(0.000349413,0.00165869)
(0.000711894,-0.000150067)
(0.000897884,-0.00057429)
(0.000918825,0.000237847)
(0.000213579,-0.000343169)
(-0.000383389,-0.00107357)
(-9.43718e-05,-0.000690925)
(-1.5935e-05,0.000565924)
(-0.000369739,0.000815508)
(0.000307173,-0.00139977)
(0.000372147,-0.000635037)
(-0.00124974,0.000646075)
(-0.00122031,0.000235102)
(0.000333536,0.000366137)
(0.000845545,0.000879548)
(-0.000553795,0.000593245)
(0.00010697,-0.000470212)
(0.00142704,0.000105094)
(-0.000695164,0.000271834)
(7.85018e-05,-0.000249396)
(0.000512332,-0.000198015)
(0.000636543,-0.0002741)
(-0.000428365,-0.000174398)
(-0.000633403,-0.00135976)
(-0.000421426,0.00110343)
(0.000210977,0.000649669)
(0.000501016,-0.000142942)
(-0.000315857,-0.000381326)
(0.000833387,0.000287858)
(-0.000541121,9.02626e-05)
(0.000225696,-0.000469679)
(0.000496702,-0.000450144)
(-0.000829383,-0.000312427)
(-0.00107929,0.000383214)
(0.00059015,-0.000258201)
(-0.000313011,0.00046532)
(-0.000864463,0.000558453)
(0.000680146,-0.000331259)
(0.000292855,0.000555936)
(-0.000836149,0.000417221)
(0.000302875,-0.000454742)
(2.73652e-05,0.00126635)
(0.000667441,0.00126775)
(0.00149978,-0.00109584)
(0.000953102,-0.00129953)
(-0.000908651,2.97457e-05)
(-0.000477058,-0.00151426)
(5.4401e-05,0.000539247)
(-0.000464297,0.00066605)
(0.000237219,-0.000691974)
(0.00017681,-2.37353e-05)
(0.00011806,0.000760888)
(-0.000138897,-0.00140951)
(-0.000224952,-0.000566133)
(-0.00110097,0.00102842)
(-0.000470834,-0.000515137)
(0.000251278,0.000546105)
(-0.000480507,0.00108702)
(0.000113225,-0.000270491)
(0.000492814,0.000915122)
(0.000851539,0.00104345)
(0.00123718,-0.00125117)
(0.000556924,-0.00138884)
(-0.000787713,8.49123e-06)
(-0.000379703,-0.00139853)
(0.000191564,0.000238655)
(-0.00106315,-8.73827e-06)
(0.000185655,-0.000821617)
(-0.00108592,0.000396485)
